Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,ave,upper,lower
2018-10-03,SONATSOFTW,EQ,359.5,359.0,367.45,351.05,351.35,353.85,360.84,113795,41061574.1,7890,59150,51.98,10,2018,279.5697647767607,-0.015716272600834413,Slight or No change,382.193,418.893,345.492
2018-10-04,SONATSOFTW,EQ,353.85,347.9,349.9,325.0,325.0,329.8,333.59,328600,109619011.95,10047,105635,32.15,10,2018,279.70374613440976,-0.06796665253638545,Slight or No change,379.468,425.263,333.673
2018-10-05,SONATSOFTW,EQ,329.8,325.15,351.8,307.0,310.0,316.05,334.77,353905,118476503.3,16814,118509,33.49,10,2018,279.8078608519199,-0.04169193450576103,Slight or No change,375.461,432.461,318.461
2018-10-08,SONATSOFTW,EQ,316.05,313.6,328.2,310.0,315.2,319.0,315.08,418046,131718061.05,10312,288757,69.07,10,2018,279.94002746987394,0.00933396614459725,Slight or No change,370.075,433.277,306.873
2018-10-09,SONATSOFTW,EQ,319.0,318.0,324.0,312.25,320.0,318.95,318.34,125903,40079766.2,6271,42663,33.89,10,2018,279.97960690587047,-0.00015673981191222097,Slight or No change,363.586,427.865,299.307
2018-10-10,SONATSOFTW,EQ,318.95,323.0,339.4,321.5,337.15,334.45,330.51,162949,53856654.6,6671,62921,38.61,10,2018,280.0510401170746,0.04859695877096715,Slight or No change,358.511,419.679,297.343
2018-10-11,SONATSOFTW,EQ,334.45,325.2,329.8,317.0,321.35,321.85,323.71,119262,38606639.15,4880,47262,39.63,10,2018,280.0911211479568,-0.037673792794139516,Slight or No change,351.971,407.142,296.801
2018-10-12,SONATSOFTW,EQ,321.85,325.0,334.5,316.25,319.95,321.1,325.46,116916,38051407.0,5356,58756,50.25,10,2018,280.12963483555376,-0.002330278079850867,Slight or No change,347.157,400.323,293.991
2018-10-15,SONATSOFTW,EQ,321.1,321.0,340.0,321.0,337.95,337.9,333.89,279162,93209039.0,6384,149156,53.43,10,2018,280.2588911850105,0.052320149486141165,Slight or No change,344.143,393.942,294.344
2018-10-16,SONATSOFTW,EQ,337.9,340.4,349.9,337.0,341.0,342.55,343.87,129949,44685206.0,3894,34031,26.19,10,2018,280.32370049373105,0.013761467889908284,Slight or No change,341.307,386.021,296.594
2018-10-17,SONATSOFTW,EQ,342.55,343.0,347.3,339.4,344.7,344.2,343.99,80417,27662664.65,2096,37953,47.2,10,2018,280.364800933636,0.004816815063494406,Slight or No change,338.561,376.553,300.568
2018-10-19,SONATSOFTW,EQ,344.2,339.95,340.9,313.45,314.85,316.2,319.54,321087,102601728.65,12441,244712,76.21,10,2018,280.45662934717166,-0.08134805345729224,Slight or No change,334.639,369.356,299.922
2018-10-22,SONATSOFTW,EQ,316.2,318.75,324.7,304.05,305.2,306.45,311.59,157367,49034575.8,7625,73039,46.41,10,2018,280.48923370949507,-0.030834914611005737,Slight or No change,330.132,361.553,298.711
