,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
390,SONATSOFTW,EQ,10-Dec-2018,312.1,300.0,307.0,295.0,305.0,305.1,303.62,113727,34529515.2,4257,71235,62.64,12,2018,281.5366073021683,-0.02242870874719638,Slight or No change
391,SONATSOFTW,EQ,11-Dec-2018,305.1,297.7,316.4,297.65,314.15,315.4,310.41,182101,56526388.35,6586,107858,59.23,12,2018,281.5837501098766,0.03375942313995406,Slight or No change
392,SONATSOFTW,EQ,12-Dec-2018,315.4,315.5,320.8,313.4,319.0,318.0,317.36,131986,41886781.5,7354,80130,60.71,12,2018,281.6204578579897,0.008243500317057784,Slight or No change
393,SONATSOFTW,EQ,13-Dec-2018,318.0,320.0,321.9,315.2,315.6,318.05,318.54,135172,43057685.6,5146,67081,49.63,12,2018,281.65802663009396,0.00015723270440259896,Slight or No change
394,SONATSOFTW,EQ,14-Dec-2018,318.05,318.05,322.0,315.2,317.25,317.85,318.95,130735,41698555.1,5443,59317,45.37,12,2018,281.69408928738414,-0.0006288319446627888,Slight or No change
395,SONATSOFTW,EQ,17-Dec-2018,317.85,318.15,321.95,314.1,315.75,315.3,318.51,65965,21010286.8,2721,41573,63.02,12,2018,281.7109767550889,-0.008022652194431323,Slight or No change
396,SONATSOFTW,EQ,18-Dec-2018,315.3,315.5,316.35,310.7,310.75,311.5,312.15,80188,25030675.9,3969,45885,57.22,12,2018,281.7291626939461,-0.01205201395496358,Slight or No change
397,SONATSOFTW,EQ,19-Dec-2018,311.5,313.0,316.0,306.0,309.25,308.95,309.45,99213,30701571.55,4290,53581,54.01,12,2018,281.749707981789,-0.00818619582664526,Slight or No change
398,SONATSOFTW,EQ,20-Dec-2018,308.95,309.0,312.55,305.0,305.55,305.5,307.16,70551,21670776.6,3082,41516,58.85,12,2018,281.7624483290399,-0.011166855478232707,Slight or No change
399,SONATSOFTW,EQ,21-Dec-2018,305.5,306.9,308.65,301.0,301.95,301.6,303.33,67109,20356496.95,2771,40872,60.9,12,2018,281.77256543806726,-0.012765957446808418,Slight or No change
400,SONATSOFTW,EQ,24-Dec-2018,301.6,302.2,304.45,300.05,302.0,301.75,301.64,57077,17216915.5,3381,34649,60.71,12,2018,281.7812270776508,0.0004973474801059918,Slight or No change
401,SONATSOFTW,EQ,26-Dec-2018,301.75,298.85,300.4,295.95,298.65,298.15,297.73,44218,13164811.2,2067,27476,62.14,12,2018,281.7867233547719,-0.011930405965203006,Slight or No change
402,SONATSOFTW,EQ,27-Dec-2018,298.15,302.0,306.3,300.0,300.0,301.1,301.57,98539,29716063.55,2640,63972,64.92,12,2018,281.8011642016815,0.009894348482307747,Slight or No change
403,SONATSOFTW,EQ,28-Dec-2018,301.1,301.1,304.45,299.05,300.1,300.1,300.24,90808,27264607.4,5213,59333,65.34,12,2018,281.81376438819535,-0.0033211557622052634,Slight or No change
404,SONATSOFTW,EQ,31-Dec-2018,300.1,302.0,305.0,301.05,303.0,302.65,302.59,42897,12980010.05,3500,21747,50.7,12,2018,281.8205397788321,0.00849716761079633,Slight or No change
